Name,Full Name,Korean Description,English Description,대분류,중분류,소분류
APIGW,Api Gateway,"목적: 앱(월렛) ↔ 서비스 서버 간 API 게이트웨이. 세션·라우팅·보안키보드·에러 지역화 처리.
주요 기능:
- 월렛-서비스 서버 세션 관리
- 월렛 API 호출 라우팅
- 보안키보드 처리
- API 버전 관리
- 에러 메시지 통합/지역화(국문/일문/중문/영문)
도메인: API 게이트웨이, 세션, 보안키보드, 지역화
연계: 월렛 앱, 코어 컴포넌트","Purpose: App(Wallet) ↔ service-server API gateway; handles session, routing, secure keyboard, error localization.
Functions:
- Manage Wallet ↔ service session
- Route Wallet API calls
- Secure keyboard handling
- API version management
- Uniform error response with localization (KR/JP/CN/EN)
Domain: API gateway, session, secure keyboard, localization
Related: Wallet app, core components",플랫폼,인프라/공통,API 게이트웨이
APS,Authentication Processing Server,"목적: 코나카드 충전단말기의 거래 인증을 위한 보안 컴포넌트. SAM에서 연산된 MAC 값을 검증.
주요 기능:
- Card Activation 시 MAC 검증
- 충전/충전취소 거래 시 MAC 검증
도메인: 인증, 충전단말기, SAM, MAC
연계: 충전 단말기 SAM","Purpose: Security component authenticating transactions from charging terminals by verifying SAM-computed MAC values.
Functions:
- Verify MAC on Card Activation
- Verify MAC on charge / charge cancel
Domain: auth, charge terminal, SAM, MAC
Related: charging terminal SAM",거래,충전,단말기 충전 인증
ATC,Administrator To Card,"목적: 관리자(코나 재무팀) 전용으로 카드에 포인트/잔액을 Bulk 충전하는 시스템.
주요 기능:
- 카드 Bulk 포인트/잔액 충전
- 관리자 전용 충전 처리
도메인: Admin, Bulk 충전, 포인트, 잔액
연계: 재무팀, 카드","Purpose: Admin-only system that bulk-loads points and balances onto cards (Kona finance team).
Functions:
- Bulk-charge points and balance to cards
- Admin-only deposit
Domain: admin, bulk recharge, points, balance
Related: finance team, card",거래,충전,어드민 충전
BAS,Bconline Authentication Service,"목적: BC 온라인 거래 발생 시 코나카드 내부 검증에 사용되는 Cryptogram을 생성.
주요 기능:
- BC 온라인 거래용 Cryptogram 생성
도메인: BC온라인, Cryptogram, 검증","Purpose: Generates cryptograms used in internal verification when BC online transactions occur.
Functions:
- Generate cryptogram for BC online tx
Domain: BC online, cryptogram, verification",거래,결제,카드 인증
BGS,Bank Gateway Service,"목적: 은행이 제공하는 API 기반으로 은행 업무 로직을 수행하는 게이트웨이.
주요 기능:
- 은행 API 호출/응답 처리
- 은행 업무 로직 실행
도메인: 은행, 게이트웨이, 외부연계
연계: 외부 은행 API","Purpose: Bank gateway component executing banking logic based on bank-provided APIs.
Functions:
- Call and handle bank APIs
- Run banking business logic
Domain: bank, gateway, integration
Related: external bank APIs",플랫폼,외부 연계,은행 게이트웨이
BIG_AGENT,Big Agent,"목적: BGF 네트웍스 SMS Agent. SMS_core가 DB에 등록한 문자 내역을 중계서버로 전송하고 결과를 DB에 저장. 국내 문자 전송만 지원.
주요 기능:
- SMS_core가 DB에 등록한 문자 내역 조회
- BGF 중계서버로 문자 전송
- 전송 결과 DB 저장
도메인: SMS, 문자 전송, BGF, 국내 한정
연계: SMS-core, BGF Networks","Purpose: BGF SMS Agent; reads SMS records that SMS_core registered in the DB, sends to relay server, stores result. Domestic SMS only.
Functions:
- Read SMS records registered by SMS_core
- Send SMS to BGF relay server
- Persist transmission result to DB
Domain: SMS, message sending, BGF, domestic only
Related: SMS-core, BGF Networks",플랫폼,알림,SMS Agent
BIZA,Business Portal A,"목적: 오프라인 긴급재난지원금 신청 관리사이트. 신청자/공무원이 사용.
주요 기능:
- 오프라인 재난지원금 신청 관리
도메인: 재난지원금, 오프라인, 포탈","Purpose: Offline emergency disaster-relief application management site for applicants/officials.
Functions:
- Manage offline disaster-relief applications
Domain: disaster relief, offline, portal",정책·지원금,재난지원금,신청 사이트
BIZB,Business Batch Server,"목적: 행안부 데이터(dis)와 비즈포탈 승인 데이터를 양방향 변환·동기화하는 배치 서버.
주요 기능:
- 행안부 데이터 ↔ 비즈포탈 데이터 변환
- 코나카드 정보 결합 후 비즈포탈에 전달
- 지급 이력 행안부 반영
- 온라인/오프라인 신청 배치로 승인 데이터 생성
도메인: 행안부, 비즈포탈, 정책수당, 배치","Purpose: Batch server transforming and syncing Government (dis) data with Biz Portal approval data.
Functions:
- Transform Gov ↔ Biz Portal data
- Push Kona-card-merged data to Biz Portal
- Reflect payment history back to Gov data
- Generate approval data from online/offline applications
Domain: government, biz portal, subsidy, batch",정책·지원금,정책수당,비즈포탈 배치
BIZCF,Business Portal Front,"목적: 현장지급 시스템 지급관리를 위한 운영 포탈. 지급등록/관리/통계 UI 제공.
주요 기능:
- 지급 등록/관리 UI
- 지급 통계 화면
- 지자체 공무원 운영 화면
도메인: 현장지급, 정책수당, 운영포탈, 지자체","Purpose: Operation portal for the on-site payment system; provides payment registration/management/statistics UI.
Functions:
- Payment registration/management UI
- Statistics screen
- Used by local-gov officials
Domain: on-site payment, subsidy, ops portal, local gov",정책·지원금,재난지원금,현장지급
BIZD,Business Portal D,"목적: 지역화폐 이용 가맹점 등록 사이트. 지자체 가맹점주·공무원이 사용.
주요 기능:
- 지역화폐 가맹점 등록
도메인: 지역화폐, 가맹점, 등록 포탈, 지사상","Purpose: Site for registering affiliated stores using local currency (used by merchants/officials).
Functions:
- Register local-currency-using affiliated stores
Domain: local currency, merchant, registration portal",가맹점,가맹점 관리,가맹점 등록 포탈
BIZS,Business Portal Api Server,"목적: BPP(business portal platform) ↔ 코나카드 코어 통신용 API 서버. 정책수당 수혜자 검증과 수당 지급 배치 수행.
주요 기능:
- BPP-코어 데이터 통신 API
- 정책수당 수혜 대상자 검증
- 카드등록/교체 시 비즈서버 동기화
- 매일 배치로 지급일 도래 수당 지급
도메인: 비즈포탈, 정책수당, 카드등록, 배치 지급
연계: BPP, 월렛 서버","Purpose: API server bridging Business Portal Platform (BPP) and Kona Card core; verifies subsidy beneficiaries and runs daily payout batch.
Functions:
- BPP ↔ core data API
- Verify policy-subsidy beneficiaries
- Sync biz server on card register/replace
- Daily batch pays subsidies due
Domain: biz portal, subsidy, card register, payout batch
Related: BPP, Wallet server",정책·지원금,정책수당,비즈포탈 API
BIZU,Business Portal Cu,"목적: CU 과일 바우처 신청 사이트. 지자체 공무원이 정책수당 신청 및 통계 확인.
주요 기능:
- CU 과일 바우처 신청 처리
- 신청 통계 제공
도메인: CU 바우처, 정책수당, 지자체","Purpose: Site for applying for CU Fruit Voucher (used by local-gov officials for application and stats).
Functions:
- Process CU Fruit Voucher applications
- Provide application statistics
Domain: CU voucher, subsidy, local gov",정책·지원금,정책수당,비즈포탈 운영
BMCS,Bank Mock Service,"목적: OpenAPI 카드 테스트용 은행 계좌 관련 Mock 서비스.
주요 기능:
- 회원 계좌 생성 및 조회
- ARS 인증
- 실명 조회
- 충전 계좌 등록
- 출금 이체
도메인: OpenAPI, Mock, 은행 계좌, 테스트
연계: OpenAPI Center","Purpose: Bank-account Mock service for OpenAPI card testing.
Functions:
- Create and view member accounts
- ARS verification
- Real-name lookup
- Register charging account
- Withdrawal transfer
Domain: OpenAPI, mock, bank account, testing
Related: OpenAPI Center",플랫폼,OpenAPI,OpenAPI Mock
BPP,Business Portal Platform,"목적: 코나카드 B2B/B2C/B2G 포탈서비스 플랫폼. 다양한 수요부의 서비스 요구를 빠르게 대응하기 위해 개발됨.
주요 기능:
- 파트너/상품 관리
- 포인트·잔액 지급 및 회수
- 거래내역 조회
- 통계화면 제공
- 지역화폐·법인·복지카드 관리포탈 운영(RCS 포함)
도메인: 포탈 플랫폼, B2B, B2C, B2G, 지역화폐 관리, 파트너, 통계","Purpose: Portal service platform for KonaCard B2B/B2C/B2G services; rapidly delivers portal services per business need.
Functions:
- Manage partners and products
- Grant/recall points and balance
- View transaction history
- Provide statistics screens
- Run local-currency / corporate / welfare card admin portals (incl. RCS)
Domain: portal platform, B2B, B2C, B2G, local currency, partner, stats",운영,운영 포탈,비즈포탈 플랫폼
BTS,Barcode Translator Service,"목적: QR코드 정보를 생성하는 서버 컴포넌트.
주요 기능:
- QR코드 정보 생성
도메인: QR, 바코드, 변환","Purpose: Server component that generates QR code information.
Functions:
- Generate QR code information
Domain: QR, barcode, translator",플랫폼,인프라/공통,QR 생성
BUSAN,Busan Core Service,"목적: 부산 동백전 정보 이관 연계 컴포넌트. 회원/잔액/이용내역 이관.
주요 기능:
- 동백전 회원 정보 이관 및 ID 매핑
- 카드 발급 시 잔액 정보 이관
- 동백전 이용내역 이관
도메인: 부산, 동백전, 회원 이관, 잔액 이관","Purpose: Component that takes over Busan Dongbaek-jeon data (members, balances, history).
Functions:
- Take over member info and map to new wallet ID
- Take over balances on card issuance
- Take over usage history
Domain: Busan, Dongbaek-jeon, member migration, balance migration",회원·인증,회원,회원 이관
CA,Certificate Authority,"목적: 인증서 발급 및 전자서명 컴포넌트. Portal에서 상품·가맹점 등록/승인 시 사용.
주요 기능:
- 인증서 발급
- 전자서명 처리
- 상품/가맹점 등록·승인 지원
도메인: 인증서, 전자서명, CA, 상품 승인","Purpose: Certificate-issuance and digital-signature component; used during product/merchant registration and approval.
Functions:
- Issue certificates
- Digital signature operations
- Support product/merchant approval
Domain: certificate, digital signature, CA, product approval",회원·인증,인증,인증서
CAMS,Card Application Manage System,"목적: 체크 카드 신청 및 발급을 관리.
주요 기능:
- 체크 카드 신청 처리
- 체크 카드 발급/상태 관리
도메인: 체크카드, 신청, 발급, 카드 상태","Purpose: Manages check-card application and issuance.
Functions:
- Process check-card application
- Manage card issuance/status
Domain: check card, application, issuance",카드,카드 관리,체크카드 신청
CARDSE,Cardse,"목적: 실물카드(CardSE) 발급/폐기 관리 및 모바일카드(HCE)와의 연결·복제 기능 제공.
주요 기능:
- 실물카드 발급/폐기
- 실물카드 ↔ HCE 카드 연결/복제
- Batch Raw 데이터 생성 및 토큰화
- 발급 후 활성/비활성 처리
도메인: 실물카드, CardSE, HCE, 토큰화
연계: HCE, TSP","Purpose: Manages physical card (CardSE) issuance/destruction and links/replicates with mobile (HCE) cards.
Functions:
- Issue/destroy physical CardSE
- Link/replicate active CardSE with active HCE
- Batch raw-data generation and tokenization
- Activate/deactivate after issuance
Domain: CardSE, physical card, HCE, tokenization
Related: HCE, TSP",카드,카드 관리,실물카드
CAS,Card Authentification Service,"목적: 카드 인증 서비스. 간편결제·구인증·해외결제·직가맹 카드인증 제공.
주요 기능:
- 간편결제 카드 인증
- 구인증 처리
- 해외결제 인증
- 직가맹 카드 인증
도메인: 카드 인증, 간편결제, 해외결제, 직가맹","Purpose: Card authentication service; simple payment, legacy auth, overseas payment, direct-affiliate card auth.
Functions:
- Simple-payment card auth
- Legacy auth
- Overseas-payment auth
- Direct-affiliate card auth
Domain: card auth, simple payment, overseas, direct affiliate",거래,결제,카드 인증
CBSS,Customer Benefit Segmentation Statics,"목적: 고객 혜택 집계 관리 컴포넌트. IAS·KPS 거래 데이터를 수집해 혜택 유형별 집계 제공.
주요 기능:
- IAS·KPS 거래 데이터 수집
- 혜택 유형별 집계 데이터 제공
도메인: 고객 혜택, 집계, 통계
연계: IAS, KPS","Purpose: Customer-benefit aggregation component; collects IAS/KPS tx data and provides per-benefit aggregates.
Functions:
- Collect IAS/KPS transaction data
- Provide aggregate data per benefit type
Domain: customer benefit, aggregation, stats
Related: IAS, KPS",운영,통계,혜택 집계
CDM,Card Delivery Management (System),"목적: 코나카드(웰컴/정책수당 등) 배송 관리 컴포넌트. 신청 정보를 코나C공장에 전달, 완료파일로 상태/카드번호 갱신. 단, 코나샵 카드 배송과는 무관.
주요 기능:
- 회원가입 시 신청 정보 공장 전달
- 공장 완료파일 읽어 상태/카드번호 업데이트
- 배송신청 데이터 조회 API 제공
- 비용부과/재발급 카드 비용 관리
도메인: 카드 배송, 웰컴카드, 정책수당카드, 재발급, 김포공장
연계: EDM, CALL, BIZ, 코나C공장","Purpose: Manages KonaCard (welcome/subsidy/etc.) delivery; sends applications to Kimpo factory and updates status/PAN from completion files. Excludes Kona Shop deliveries.
Functions:
- Forward signup info to factory
- Update status/PAN from factory completion files
- Provide delivery-request inquiry API
- Manage paid-card / reissue cost
Domain: card delivery, welcome card, subsidy card, reissue, Kimpo factory
Related: EDM, CALL, BIZ, Kimpo factory",카드,카드 관리,카드 배송
CIMS,Card Inventory Management Service,"목적: E2MAX와 연동하여 카드 재고를 관리하는 서비스.
주요 기능:
- E2MAX 연동 카드 재고 관리
도메인: 카드 재고, E2MAX, 재고 관리","Purpose: Card-inventory management service integrated with E2MAX.
Functions:
- Manage card inventory via E2MAX integration
Domain: card inventory, E2MAX, inventory mgmt",카드,카드 관리,카드 재고
CISS,Card Issuance Simulator Service,"목적: OpenAPI 테스트용 카드 발급 시뮬레이터 서비스.
주요 기능:
- OpenAPI용 카드 발급 시뮬레이션
도메인: OpenAPI, Mock, 카드 발급, 시뮬레이터
연계: OpenAPI Center","Purpose: Card-issuance simulator for OpenAPI testing.
Functions:
- Simulate card issuance for OpenAPI tests
Domain: OpenAPI, mock, card issuance, simulator
Related: OpenAPI Center",플랫폼,OpenAPI,OpenAPI Mock
CLMK,Nice Mock Service,"목적: OpenAPI 실명 인증용 NICE Mock 서비스.
주요 기능:
- 암복호화 토큰 요청
- 실명 인증 요청
도메인: OpenAPI, Mock, 실명 인증, NICE
연계: OpenAPI Center, NICE-core","Purpose: NICE Mock service for OpenAPI real-name verification.
Functions:
- Request encryption/decryption token
- Request real-name verification
Domain: OpenAPI, mock, real-name verification, NICE
Related: OpenAPI Center, NICE-core",플랫폼,OpenAPI,OpenAPI Mock
CLR,Clearing,"목적: 코나카드 정산 컴포넌트. 거래 데이터·계약서 기준으로 수수료/대금 확정, 지급 데이터 및 근거 자료 생성. 새벽 배치로 수행.
주요 기능:
- 거래 데이터 기반 수수료/대금 확정
- 확정 대금 지급 데이터 생성
- 지급 근거 자료 생성
- 새벽 시간 배치 실행
도메인: 정산, 수수료, 지급, 배치, 새벽
연계: IAS(원장), 컨트랙트","Purpose: KonaCard clearing component; computes fees/payments per contract from tx data and generates payout + evidence files (run as overnight batch).
Functions:
- Confirm fees and payment amounts from tx data
- Generate payout data
- Generate supporting evidence
- Runs as off-peak batch
Domain: clearing, fee, payout, batch, overnight
Related: IAS (ledger), contracts",거래,정산,정산
CLR_KT,Clearing Kotlin,"목적: CLR을 Spring Boot 3.2.3, JDK 21, Kotlin으로 업그레이드한 신규 정산 컴포넌트. 새벽 자동 처리.
주요 기능:
- 거래 데이터 기반 수수료/대금 계산
- 지급 데이터 생성
- Spring Boot 3 / JDK 21 / Kotlin 스택
- 새벽 시간 자동 정산
도메인: 정산, Kotlin, JDK21, 신규 스택, 배치
연계: CLR(legacy)","Purpose: Upgraded clearing component (Spring Boot 3.2.3, JDK 21, Kotlin) replacing CLR; runs automatically overnight.
Functions:
- Calculate fees and payments from tx data
- Generate payment data
- Spring Boot 3 / JDK 21 / Kotlin stack
- Automated overnight clearing
Domain: clearing, Kotlin, JDK21, modernized, batch
Related: CLR (legacy)",거래,정산,정산
CMS,Card Management System,"목적: 카드 원장 관리 컴포넌트. 카드 발급용 Raw 데이터 생성, PAN/PAR 관리, 라이프사이클·기명화·소득공제 지원.
주요 기능:
- 카드 발급 Raw 데이터 생성
- PAN/PAR 생성 및 관리
- 카드 라이프사이클 관리
- 기명화 처리
- 소득공제 지원
도메인: 카드 원장, PAN, PAR, 라이프사이클, 기명화, 소득공제","Purpose: Card-ledger management; generates raw issuance data and manages PAN/PAR, lifecycle, name registration, tax deduction.
Functions:
- Generate raw card-issuance data
- Generate and manage PAN/PAR
- Manage full card lifecycle
- Name-registration handling
- Income-tax deduction support
Domain: card ledger, PAN, PAR, lifecycle, name registration, tax deduction",카드,카드 관리,카드 원장
COPS,Co Payment Service,"목적: 모아서 결제(공동 결제) 서비스. 결제참여 요청·승인/거절, 모으기/취소, 모아서 결제 처리.
주요 기능:
- 결제참여 요청 및 승인/거절
- 모으기/모으기 취소
- 모아서 결제 실행
도메인: 공동결제, 모아서 결제, 더치페이","Purpose: Co-payment (collect-and-pay) service; participation request/approval/reject, collect/cancel, then pay.
Functions:
- Payment participation request, approve/reject
- Collect / cancel collect
- Execute collect-and-pay
Domain: co-payment, collect-and-pay, group pay",거래,결제,모아서 결제
CPG,Credit Payment Gateway,"목적: EZPS 카드정보를 통해 신용카드 간편결제 거래를 신용카드사로 중계하는 게이트웨이. 정산데이터 제공.
주요 기능:
- EZPS 기반 신용카드 결제 중계
- 신용카드사 거래 전송
- 정산 데이터 제공
도메인: 신용카드, 결제 게이트웨이, 정산
연계: EZPS, 신용카드사","Purpose: Credit-card payment gateway routing simple-payment txs to credit-card companies via EZPS; provides settlement data.
Functions:
- Relay credit-card payment using EZPS data
- Forward txs to credit-card companies
- Provide settlement data
Domain: credit card, payment gateway, settlement
Related: EZPS, credit-card companies",거래,결제,신용카드 결제
CRMS,Corporation Recharge Management Service,"목적: 법인 계좌 출금이체 후 카드 충전 처리 컴포넌트. 쿠콘 출금이체 + 카드 충전 API 분리 제공.
주요 기능:
- 쿠콘 법인 계좌 출금이체
- 출금이체 후 카드 충전 요청
- 출금이체 API/충전 API/통합 API 분리 제공
도메인: 법인 충전, 쿠콘, 출금이체, 잔액 충전
상태: 실제 충전 서비스는 HOLD, 출금이체 요청만 운영","Purpose: Corporation recharge component; performs Coocon corporate-account withdrawal then card recharge (APIs separated).
Functions:
- Coocon corporate withdrawal
- Recharge card after withdrawal
- Separate APIs: withdrawal / recharge / combined
Domain: corp recharge, Coocon, withdrawal, balance
Status: recharge currently on hold, only withdrawal in use",거래,충전,법인 충전
CRS,Customer Reward System,"목적: 리워드 정책 등록/업데이트/삭제 관리 및 활성 리워드 조건 검사 후 실시간 리워드 지급.
주요 기능:
- 리워드 정보 등록/수정/삭제
- 활성 리워드 조건 검사
- Point/Coupon 실시간 지급
- 회원가입/카드등록/결제·충전 시점 지급
도메인: 리워드, 포인트, 쿠폰, 실시간 지급
연계: KPS, KCPS","Purpose: Manages reward policy registration/update/deletion and grants real-time rewards after condition checks.
Functions:
- Register/update/delete reward info
- Run condition checks for active rewards
- Grant points/coupons in real time
- Trigger on signup, card register, payment/charge
Domain: reward, point, coupon, real-time grant
Related: KPS, KCPS",부가서비스,포인트·리워드,리워드 정책
CS,Charge Service,"목적: 은행계좌·신용카드 기반 온라인 충전 컴포넌트. 외부 PG 연동, 자동 충전(월별/하한) 지원.
주요 기능:
- 계좌주 실명 조회 및 ARS 인증
- 은행 계좌 등록 및 충전
- 외부 PG사 연동 출금이체
- 월별 자동 충전 / 하한 자동 충전
도메인: 충전, 은행계좌, 신용카드, PG, 자동충전
연계: 외부 PG","Purpose: Online charge component using bank account or credit card; integrates with external PG and supports auto-charging (monthly / threshold).
Functions:
- Real-name lookup and ARS verification
- Register bank account and charge from it
- Withdraw via external PG company
- Monthly or threshold-based auto charge
Domain: charge, bank account, credit card, PG, auto-charge
Related: external PG",거래,충전,온라인 충전
CSG,Call Service Gateway,"목적: 지역전화콜 시스템과 코나택시(MAS) 사이의 호출 서비스 중계.
주요 기능:
- 지역전화콜 ↔ 코나택시 호출 중계
도메인: 콜, 모빌리티, 게이트웨이
연계: MAS","Purpose: Routes call requests between local phone-call system and Kona Taxi (MAS).
Functions:
- Relay call service between local call system and Kona Taxi
Domain: call, mobility, gateway
Related: MAS",모빌리티,택시 운영/자산,콜 게이트웨이
CUBEONE AGENT,Cubeone Agent,"목적: DBMS 서버에 설치되어 중요한 데이터의 암/복호 초기화를 수행하는 에이전트.
주요 기능:
- DBMS 중요 데이터 암호화/복호화 초기화
도메인: DBMS, 암호화, CubeOne, 보안 에이전트
연계: CubeOne Policy","Purpose: Agent installed on DBMS servers; performs encryption/decryption initialization for sensitive data.
Functions:
- Initialize encryption/decryption of sensitive DB data
Domain: DBMS, encryption, CubeOne, security agent
Related: CubeOne Policy",플랫폼,보안,DB 암호화
CUBEONE POLICY,Cubeone Policy,"목적: DBMS 보안 정책을 설정·배포하는 관리 컴포넌트.
주요 기능:
- DBMS 보안 정책 설정
- 보안 정책 배포
도메인: DBMS, 보안 정책, CubeOne
연계: CubeOne Agent","Purpose: Management component setting up and deploying DBMS security policies.
Functions:
- Set up DBMS security policies
- Deploy security policies
Domain: DBMS, security policy, CubeOne
Related: CubeOne Agent",플랫폼,보안,DB 암호화
CVS,Certificate Verification Service,"목적: 외부 신분증 인증 모듈. 주민등록증(정부24), 운전면허증(경찰청) 인증 제공. 소득공제·충전한도 상향 시 사용.
주요 기능:
- 주민등록증 인증(정부24)
- 운전면허증 인증(경찰청)
- 소득공제/충전한도 상향 시 신분증 인증
도메인: 신분증 인증, 주민등록증, 운전면허증, 정부24, 경찰청","Purpose: External certificate-verification module; resident-registration (Gov24) and driver's license (Police).
Functions:
- Resident-registration verification (Gov24)
- Driver's-license verification (Police)
- Used for tax deduction / charge limit upgrade
Domain: ID verification, RRN, driver license, Gov24, Police",회원·인증,인증,신분증 인증
DAPA,Display Advertisment Platform Api,"목적: 광고 플랫폼 API 컴포넌트. 광고 기능 중 API로 제공해야 할 기능 담당.
주요 기능:
- 광고 기능용 API 제공
도메인: 광고, API, 플랫폼
연계: DAPC, DAPM","Purpose: Display-Advertisement Platform API; serves the API-facing parts of ad functionality.
Functions:
- Provide API endpoints for advertising functions
Domain: advertising, API, platform
Related: DAPC, DAPM",운영,광고/추천,광고
DAPC,Display Advertisment Platform Core,"목적: 광고 플랫폼 코어. DAPM에서 받은 메시지를 광고 서비스용으로 가공/저장/집계.
주요 기능:
- DAPM 메시지 수신
- 광고 데이터 가공/저장
- 광고 데이터 집계
도메인: 광고, 코어, 데이터 가공, 집계
연계: DAPM, DAPA","Purpose: Display-Ad Platform core; receives DAPM messages and processes/stores/aggregates them for ad services.
Functions:
- Receive messages from DAPM
- Process and store ad data
- Aggregate ad metrics
Domain: advertising, core, processing, aggregation
Related: DAPM, DAPA",운영,광고/추천,광고
DAPM,Display Advertisment Platform Messagebroker,"목적: 광고 플랫폼 메세지 브로커. 광고 서비스 최전단에서 모든 요청을 받아 정규화 후 메시지 큐로 전달.
주요 기능:
- 광고 요청 수신
- 정규화 처리
- 메시지 큐 발행
도메인: 광고, 메시지 브로커, 큐
연계: DAPC, DAPA","Purpose: Display-Ad Platform message broker; ingests all ad requests, normalizes, and forwards to the message queue.
Functions:
- Ingest advertising requests
- Normalize requests
- Publish to message queue
Domain: advertising, message broker, queue
Related: DAPC, DAPA",운영,광고/추천,광고
